hospital,C_sec_uncomp_rate,vbac,births_per_bed,HPSA_SHORTAGE,HPSA_SHORTAGE_0_1,TOC_acute_div_by_beds,female_patients_percent,hispanic_percent,white_percent,Admt_Newborn,Payer_Medi_Cal_percent,Payer_Priv_Coverage_percent,Payer_Self_Pay_percent,nicu_div_by_births,BirthDefects_div_by_births,Dx_preg_percent,PCT200POV
UC San Diego Health System – Hillcrest Medical Center,27.7,28.1,6.788485607,0,0,71.26658323,50.21674574,31,100,2717,32,20,4,0.203908555,0.03060472,0.109655439,23.78
Kaiser Foundation Hospital – San Diego,28.7,18.5,11.59449312,0,0,66.07008761,59.46959651,32,100,4620,8,55,1,0.07253886,0.012305699,0.185224474,20.75
Sharp Mary Birch Hospital for Women and Newborns,31.8,10.1,37.57114228,0,0,80.04008016,75.27290936,42,99,9376,27,62,5,0.101664178,0.002133561,0.499949925,23.78
California Pacific Medical Center – St. Luke’s Campus,23,2.4,3.587174349,0,0,18.16032064,59.80701063,54,93,891,42,24,2,0.198882682,0.002234637,0.211211653,27.14
California Pacific Medical Center – Pacific Campus,27,13.1,11.40675845,0,0,60.58072591,59.80672438,14,100,4556,16,52,2,0,0.016677639,0.200024791,20.92
Priscilla Chan & Mark Zuckerberg San Francisco General Hospital & Trauma Center,17.7,48.3,2.75844806,0,0,35.85481852,41.87468161,46,97,1101,62,8,2,0.031760436,0.016333938,0.090337894,27.14
Kaiser Foundation Hospital – San Francisco,22.7,32.7,11.88777555,0,0,56.91783567,57.67605634,16,99,2969,5,63,1,0.126770061,0.023263655,0.223505387,24.55
UC San Francisco Medical Center,21,32.6,6.256,0,0,72.63,54.07556314,22,100,3117,28,41,3,0.248401535,0.300511509,0.096929643,18.84
Doctors Hospital of Manteca,32.8,1.2,8.818791946,0,0,60.22818792,62.60307555,30,98,656,10,46,1,0,0,0.15489191,29.34
Sutter Tracy Community Hospital,31.2,1.1,9.087248322,0,0,61.54362416,59.89094875,39,97,677,31,30,3,0,0,0.154416576,25.41
Lodi Memorial Hospital,29.9,1.3,6.166189112,0,0,48.65902579,58.34584729,25,99,1076,38,16,1,0,0.00464684,0.132022141,40.63
Dameron Hospital,32.5,6.8,1.394789579,3.67,1,18.96593186,57.05832629,37,97,348,38,22,1,0.066091954,0.005747126,0.083474218,54.77
San Joaquin General Hospital,29.3,13.1,11.08882521,3.67,1,65.46704871,44.89099028,37,97,1918,60,3,3,0.290439276,0.002583979,0.177170868,54.77
Kaiser Foundation Hospital – Manteca,28.2,17.8,41.82550336,0,0,193.0604027,60.61870003,39,99,3111,5,65,1,0,0.002567394,0.227490788,29.34
Saint Joseph’s Medical Center of Stockton,23.1,22.7,7.899874844,1.72,1,53.30413016,57.93989404,43,99,3141,42,20,1,0.111533587,0.007287706,0.161634186,51.15
French Hospital Medical Center,28.3,0,6.55033557,0,0,63.0738255,52.44785015,8,100,488,14,31,1,0,0.024590164,0.106618429,42.77
Twin Cities Community Hospital,19.9,1.7,4.987951807,0,0,39.51004016,56.00731856,18,99,620,26,24,1,0,0.001610306,0.131530799,19.99
Sierra Vista Regional Medical Center,33.3,16.5,7.598853868,0,0,37.94269341,59.43210995,17,99,1324,26,41,1,0.198340875,0.005279035,0.203745658,42.77
Kaiser Foundation Hospital – Redwood City,18,28,15.22088353,0,0,77.9437751,60.33594394,25,99,1893,5,62,1,0,0.018469657,0.201669415,15.69
Sequoia Hospital,26.9,24.3,5.851703407,0,0,27.79158317,60.76479076,10,99,1459,3,56,3,0,0.008219178,0.213441015,9.85
Peninsula Medical Center,26.7,20.8,8.328657315,0,0,52.2004008,59.56963379,21,99,2076,13,43,3,0,0.008180943,0.165770885,10.72
Lompoc Valley Medical Center,22.9,0,5.073825503,0,0,37.04697987,55.7790658,36,97,378,33,20,0,0,0.005291005,0.140942029,36.87
Santa Barbara Cottage Hospital,31,0.4,5.484355444,0,0,43.95244055,55.91186511,25,100,2189,19,26,3,0.144682793,0.052943861,0.130018794,19.79
Marian Regional Medical Center,30.4,3.1,7.44931164,0,0,37.62202753,62.09226018,55,99,2974,44,22,1,0,0.004704301,0.215302728,41.93
Saint Louise Regional Hospital,26.1,5,4.617449664,0,0,38.26845638,59.52297439,47,96,343,31,27,0,0,0,0.128726763,25.1
Regional Medical of San Jose,24.9,4.1,1.995991984,0,0,62.9258517,51.28025478,60,97,503,31,20,1,0.228915663,0.016064257,0.039936306,22.67
O’Connor Hospital,26.9,8.8,5.664580726,0,0,29.27659574,62.22146333,51,97,2261,19,31,10,0.132567388,0.002651348,0.199298906,33.81
Good Samaritan Hospital – San Jose,31.7,7.3,9.541927409,0,0,47.72715895,62.59750584,17,99,3803,8,54,2,0.12250787,0.008394544,0.206849531,12.6
El Camino Hospital,27.4,9.4,7.752190238,0,0,50.44055069,63.73487786,14,99,3100,7,52,2,0.069422021,0.013238618,0.24370999,10.12
Kaiser Foundation Hospital – San Jose,20.7,24.4,9.783567134,0,0,50.19639279,57.84556416,41,99,2441,7,58,1,0.155264236,0.003277345,0.199377196,10.53
Lucile Salter Packard Children’s Hospital at Stanford,27,16.8,10.80600751,0,0,42.07259074,61.95833333,52,98,4322,22,56,0,0.407922168,0.221450081,0.282782009,10.12
Kaiser Foundation Hospital – Santa Clara,27,20.2,11.5494368,0,0,58.12765957,58.84759485,28,99,4612,4,62,1,0.027091461,0.037711313,0.206097666,8.4
Santa Clara Valley Medical Center,24.3,30.8,6.784,0,0,49.514,51.43831156,62,98,3385,60,12,2,0.141214623,0.022110849,0.149856606,33.81
Watsonville Community Hospital,28.6,11.6,6.546184739,3.2,1,34.85943775,61.70506912,70,95,813,58,12,0,0.280981595,0.001226994,0.233410138,49.62
Dominican Hospital,26.6,21.4,3.655310621,0,0,44.02004008,53.15039762,19,100,907,24,27,1,0.338815789,0.023026316,0.092779751,30.07
Sutter Maternity and Surgery Center of Santa Cruz,17.4,33.3,44.96,0,0,106.52,73.82651145,33,97,1123,24,61,5,0,0,0.423957942,30.07
Mayers Memorial Hospital,25.6,0,0.128514056,1.21,1,2.674698795,60.16949153,6,97,16,22,11,1,0,0,0.138138138,41.32
Mercy Medical Center – Redding,30.1,1.2,8.164328657,0,0,60.16032064,56.22709402,4,100,2034,32,22,1,0.518409426,0.005400098,0.144570286,36.99
Mercy Medical Center Mt. Shasta,21.7,0,5.08,0.09,1,46.72,58.88888889,3,99,127,30,19,1,0,0,0.117294521,33.73
Fairchild Medical Center,31.4,19.1,8.64,0.95,1,64.32,57.33830846,5,98,216,36,16,2,0,0.00462963,0.135572139,43.91
Sutter Solano Medical Center,19.5,7.7,4.176706827,0,0,37.76706827,56.81769836,34,94,518,41,14,2,0,0.001923077,0.121863037,26.98
North Bay Medical Center,26.9,15.9,10.65060241,0,0,82.57028112,58.26442261,27,99,1323,37,17,3,0.109351433,0.001508296,0.136478599,28.88
Kaiser Foundation Hospital – Vacaville,20.1,22.6,10.41767068,0,0,60.89959839,59.32471643,22,99,1295,11,52,1,0,0.00539707,0.175943023,18.37
Kaiser Foundation Hospital – Rehabilitation Center Vallejo,23.5,25.3,6.44488978,0,0,44.90581162,57.47769667,23,99,1598,13,42,2,0.269278607,0.003109453,0.15324884,26.98
Sonoma Valley Hospital,22.4,0,2.10738255,0.09,1,18.17449664,62.99351797,19,98,157,21,23,3,0,0,0.124076809,27.91
Sutter Santa Rosa Regional Hospital,22.8,0.8,23.5704698,0,0,106.3355705,62.13077506,30,99,1747,39,29,2,0.018792711,0.003416856,0.233400656,28.8
Petaluma Valley Hospital,18.5,14.6,5.583892617,0,0,37.61073826,59.90717601,21,99,413,36,18,1,0,0.004807692,0.153818701,25
Kaiser Foundation Hospital – Santa Rosa,24,15.7,11.85673352,0,0,65.95988539,60.66898349,19,100,2066,8,53,1,0.106331561,0.004833253,0.188184188,28.8
Santa Rosa Memorial Hospital – Montgomery,22.6,41.6,2.452905812,0,0,48.2004008,49.7386048,13,100,617,30,18,1,0.35130719,0.026143791,0.055546316,28.8
Emanuel Medical Center,18.8,0.8,5.531062124,0,0,39.39078156,59.34669787,40,99,1376,44,17,1,0.210869565,0.001449275,0.154456654,36.39
Memorial Hospital Medical Center – Modesto,29.6,0.7,5.113892365,0,0,47.53441802,57.388099,28,100,2042,24,27,2,0.102300538,0.003426334,0.112848868,31.39
Doctors Medical Center,29.4,13,9.599499374,0,0,64.71088861,54.39936956,37,100,3831,51,20,1,0.179400261,0.003650587,0.159175306,32.99
Saint Elizabeth Community Hospital,29,1.2,7.315436242,0.08,1,45.62416107,62.90085319,15,99,543,40,17,1,0,0,0.168873198,45.21
Sierra View Medical Center,30.1,0.9,8.429799427,2.6,1,39.29512894,61.50262085,61,97,1468,55,13,0,0,0,0.225171358,60.1
Tulare Regional Medical Center,30.5,3.5,4.489959839,0,0,28.48192771,62.21094191,56,95,559,52,13,1,0,0.001788909,0.170896785,49.45
Kaweah Delta Medical Center,30.5,5.4,11.38423029,5.04,1,64.6232791,57.31828288,50,99,4545,42,23,0,0,0.003957784,0.186505016,40
Sonora Regional Medical Center – Greenley,34.6,1.5,7.409395973,0,0,67.20805369,57.2621986,6,100,551,25,20,0,0,0.012681159,0.116436988,35.12
Simi Valley Hospital and Healthcare Services – Sycamore,23.8,1.8,4.401606426,0,0,61.20481928,57.11283331,18,99,544,19,33,2,0,0.00729927,0.078215223,13.06
Community Memorial Hospital – San Buenaventura,29.3,1.4,11.14228457,0,0,58.81362725,60.49475262,34,100,2773,23,39,1,0.120863309,0.003597122,0.19667439,26.28
Saint John’s Regional Medical Center,32.4,2.8,6.845691383,6.61,1,46.28456914,58.40752142,59,98,1699,34,20,1,0.147540984,0.007025761,0.161759612,43.82
Ventura County Medical Center,25.6,8.6,7.114228457,0,0,39.64328657,56.05881819,62,98,1774,61,17,2,0.012394366,0.01915493,0.191689415,26.28
Los Robles Hospital and Medical Center,31.4,13.1,4.983729662,0,0,42.5456821,57.36712907,12,100,1998,11,37,1,0.071320944,0.005524862,0.121197858,14.92
Woodland Memorial Hospital,25.7,2.7,5.590361446,0,0,33.68674699,58.03423523,35,98,698,43,22,1,0.037356322,0.001436782,0.177873152,32.79
Sutter Davis Hospital,14.7,33.6,58.2,0,0,204.04,67.06528132,35,98,1450,32,37,3,0,0,0.296412468,37.75
Rideout Memorial Hospital,28.1,9.9,12.33810888,3.15,1,76.14899713,58.9704997,24,100,2147,41,17,1,0,0.000928936,0.171583384,45.57
